Strains	Number of Hets	Total Markers	% of Hets v.s. Markers
BDVII/Cub	2	3800	0.0526
ACI	9	3922	0.2295
GK	4	3974	0.1007
AVN/Orl	9	3979	0.2262
BP/Cub	4	4030	0.0993
NP9	2	4050	0.0494
BN/Cub-lx	7	4072	0.1719
LH/Mav	6	4074	0.1473
PVG/Pit	6	4082	0.1470
SHRSP/Riv	3	4085	0.0734
BN/SsNHsd	7	4085	0.1714
WKY/OlsHsd	6	4096	0.1465
BC/Cpbu	4	4107	0.0974
OM/Han	1	4116	0.0243
BDIX/Han	1	4119	0.0243
WIST/Nhg	3	4119	0.0728
LE/Mol	11	4121	0.2669
LN/Mav	5	4122	0.1213
COP/OlaHsd	3	4134	0.0726
BB/DR	6	4135	0.1451
WTC/Kyo	10	4143	0.2414
MNS/Gib	8	4145	0.1930
WN/N	7	4154	0.1685
IS/Kyo	19	4157	0.4571
DONRYU/Melb	7	4160	0.1683
BB/DP	23	4160	0.5529
GH/Omr	5	4172	0.1198
LOU/CHan	3	4178	0.0718
M520/N	7	4180	0.1675
MNR/N	11	4184	0.2629
LEW/Pit	5	4185	0.1195
MNRA/N	65	4189	1.5517
NEDH/K	7	4195	0.1669
WAG/RijKyo	10	4197	0.2383
SD/Rij	3	4199	0.0714
SR/Jr	1	4200	0.0238
WF/Pit	8	4201	0.1904
DA/Pit	5	4202	0.1190
OKA/Wsl	4	4204	0.0951
P5C	8	4210	0.1900
MHS/Gib	6	4211	0.1425
SHR/OlaHsd	5	4217	0.1186
SS/Jr	28	4223	0.6630
F344/Pit	3	4224	0.0710
BUF/Pit	10	4232	0.2363
MR/Pit	15	4242	0.3536
FHH/Eur	12	4245	0.2827
ODU/N	11	4246	0.2591
