,ACI,AVN/Orl,BB/DP,BB/DR,BC/Cpbu,BDIX/Han,BDVII/Cub,BN/Cub-lx,BN/SsNHsd,BP/Cub,BUF/Pit,COP/OlaHsd,DA/Pit,DONRYU/Melb,F344/Pit,FHH/Eur,GH/Omr,GK,IS/Kyo,LE/Mol,LEW/Pit,LH/Mav,LOU/CHan,LN/Mav,M520/N,MHS/Gib,MNR/N,MNRA/N,MNS/Gib,MR/Pit,NEDH/K,NP9,ODU/N,OKA/Wsl,OM/Han,P5C,PVG/Pit,SD/Rij,SHR/OlaHsd,SHRSP/Riv,SR/Jr,SS/Jr,WAG/RijKyo,WF/Pit,WIST/Nhg,WKY/OlsHsd,WN/N,WTC/Kyo
ACI,-,43,49,49,47,40,42,60,60,45,45,28,20,44,44,52,46,51,63,50,47,45,45,45,42,47,47,45,48,47,49,49,54,55,50,49,43,47,56,56,44,45,45,45,45,54,48,53
AVN/Orl,-,-,42,42,44,42,43,54,54,47,42,44,42,43,43,48,43,49,61,47,32,45,40,45,46,41,41,42,41,43,45,41,53,54,48,41,43,45,54,53,44,43,40,41,43,52,42,52
BB/DP,-,-,-,12,48,46,46,55,55,49,41,50,46,44,44,48,43,49,62,46,32,43,41,44,44,35,43,40,35,42,44,27,52,54,47,27,43,41,54,53,43,41,38,36,43,52,39,52
BB/DR,-,-,-,-,50,47,46,54,54,49,41,50,46,44,45,48,43,48,62,46,32,43,41,44,45,33,42,40,35,41,44,28,52,54,47,26,45,41,54,53,44,42,39,36,43,52,40,52
BC/Cpbu,-,-,-,-,-,43,44,59,59,46,47,48,46,47,47,50,45,53,63,50,47,48,45,48,49,49,48,46,50,48,48,49,57,56,50,49,46,49,55,55,48,47,46,46,47,57,47,55
BDIX/Han,-,-,-,-,-,-,29,58,58,42,45,41,42,45,45,52,42,50,62,47,44,45,43,45,45,46,45,44,47,45,48,47,54,54,51,47,43,47,54,55,45,44,44,46,45,53,46,53
BDVII/Cub,-,-,-,-,-,-,-,56,57,43,44,43,42,46,46,50,41,52,61,48,44,46,42,45,45,45,45,44,46,46,46,47,53,54,50,46,44,45,54,53,45,43,42,45,45,53,45,52
BN/Cub-lx,-,-,-,-,-,-,-,-,4,59,56,60,57,56,57,58,58,60,66,59,49,58,54,56,56,54,57,55,55,57,56,54,65,67,59,56,58,55,65,65,58,57,53,54,57,63,57,63
BN/SsNHsd,-,-,-,-,-,-,-,-,-,59,56,60,57,56,57,59,58,61,67,59,49,58,55,57,56,54,57,55,55,57,56,54,65,67,59,56,58,56,66,66,59,57,53,54,58,63,56,64
BP/Cub,-,-,-,-,-,-,-,-,-,-,49,43,46,48,49,54,46,53,63,51,48,48,47,48,47,49,47,48,50,48,50,50,55,57,53,51,47,49,56,56,48,48,49,50,47,55,50,54
